Country Name,Continent
Afghanistan,Southern Asia
Albania,Southern Europe
Algeria,Northern Africa
Angola,Middle Africa
Antigua and Barbuda,Caribbean
Argentina,South America
Armenia,Western Asia
Aruba,Caribbean
Australia,Australia and New Zealand
Austria,Western Europe
Azerbaijan,Western Asia
"Bahamas, The",Caribbean
Bahrain,Western Asia
Bangladesh,Southern Asia
Barbados,Caribbean
Belarus,Eastern Europe
Belgium,Western Europe
Belize,Central America
Benin,Western Africa
Bermuda,Northern America
Bhutan,Southern Asia
Bolivia,South America
Bosnia and Herzegovina,Southern Europe
Botswana,Southern Africa
Brazil,South America
Brunei Darussalam,South-Eastern Asia
Bulgaria,Eastern Europe
Burkina Faso,Western Africa
Burundi,Eastern Africa
Cabo Verde,Western Africa
Cambodia,South-Eastern Asia
Cameroon,Middle Africa
Canada,Northern America
Central African Republic,Middle Africa
Chad,Middle Africa
Channel Islands,Northern Europe
Chile,South America
China,Eastern Asia
Colombia,South America
Comoros,Eastern Africa
"Congo, Dem. Rep.",Middle Africa
"Congo, Rep.",Middle Africa
Costa Rica,Central America
Cote d'Ivoire,Western Africa
Croatia,Southern Europe
Cuba,Caribbean
Curacao,Caribbean
Cyprus,Western Asia
Czech Republic,Eastern Europe
Denmark,Northern Europe
Djibouti,Eastern Africa
Dominican Republic,Caribbean
Ecuador,South America
"Egypt, Arab Rep.",Northern Africa
El Salvador,Central America
Equatorial Guinea,Middle Africa
Eritrea,Eastern Africa
Estonia,Northern Europe
Ethiopia,Eastern Africa
Faroe Islands,Northern Europe
Fiji,Melanesia
Finland,Northern Europe
France,Western Europe
French Polynesia,Polynesia
Gabon,Middle Africa
"Gambia, The",Western Africa
Georgia,Western Asia
Germany,Western Europe
Ghana,Western Africa
Greece,Southern Europe
Greenland,Northern America
Grenada,Caribbean
Guam,Micronesia
Guatemala,Central America
Guinea,Western Africa
Guinea-Bissau,Western Africa
Guyana,South America
Haiti,Caribbean
Honduras,Central America
"Hong Kong SAR, China",Eastern Asia
Hungary,Eastern Europe
Iceland,Northern Europe
India,Southern Asia
Indonesia,South-Eastern Asia
"Iran, Islamic Rep.",Southern Asia
Iraq,Western Asia
Ireland,Northern Europe
Israel,Western Asia
Italy,Southern Europe
Jamaica,Caribbean
Japan,Eastern Asia
Jordan,Western Asia
Kazakhstan,Central Asia
Kenya,Eastern Africa
Kiribati,Micronesia
"Korea, Dem. People’s Rep.",Eastern Asia
"Korea, Rep.",Eastern Asia
Kosovo,Eastern Europe
Kuwait,Western Asia
Kyrgyz Republic,Central Asia
Lao PDR,South-Eastern Asia
Latvia,Northern Europe
Lebanon,Western Asia
Lesotho,Southern Africa
Liberia,Western Africa
Libya,Northern Africa
Liechtenstein,Western Europe
Lithuania,Northern Europe
Luxembourg,Western Europe
"Macao SAR, China",Eastern Asia
"Macedonia, FYR",Southern Europe
Madagascar,Eastern Africa
Malawi,Eastern Africa
Malaysia,South-Eastern Asia
Maldives,Southern Asia
Mali,Western Africa
Malta,Southern Europe
Mauritania,Western Africa
Mauritius,Eastern Africa
Mexico,Central America
"Micronesia, Fed. Sts.",Micronesia
Moldova,Eastern Europe
Mongolia,Eastern Asia
Montenegro,Southern Europe
Morocco,Northern Africa
Mozambique,Eastern Africa
Myanmar,South-Eastern Asia
Namibia,Southern Africa
Nepal,Southern Asia
Netherlands,Western Europe
New Caledonia,Melanesia
New Zealand,Australia and New Zealand
Nicaragua,Central America
Niger,Western Africa
Nigeria,Western Africa
Norway,Northern Europe
Oman,Western Asia
Pakistan,Southern Asia
Panama,Central America
Papua New Guinea,Melanesia
Paraguay,South America
Peru,South America
Philippines,South-Eastern Asia
Poland,Eastern Europe
Portugal,Southern Europe
Puerto Rico,Caribbean
Qatar,Western Asia
Romania,Eastern Europe
Russian Federation,Eastern Europe
Rwanda,Eastern Africa
Samoa,Polynesia
San Marino,Southern Europe
Sao Tome and Principe,Middle Africa
Saudi Arabia,Western Asia
Senegal,Western Africa
Serbia,Southern Europe
Seychelles,Eastern Africa
Sierra Leone,Western Africa
Singapore,South-Eastern Asia
Sint Maarten (Dutch part),Caribbean
Slovak Republic,Eastern Europe
Slovenia,Southern Europe
Solomon Islands,Melanesia
Somalia,Eastern Africa
South Africa,Southern Africa
South Sudan,Eastern Africa
Spain,Southern Europe
Sri Lanka,Southern Asia
St. Lucia,Caribbean
St. Martin (French part),Caribbean
St. Vincent and the Grenadines,Caribbean
Sudan,Northern Africa
Suriname,South America
Swaziland,Southern Africa
Sweden,Northern Europe
Switzerland,Western Europe
Syrian Arab Republic,Western Asia
Tajikistan,Central Asia
Tanzania,Eastern Africa
Thailand,South-Eastern Asia
Timor-Leste,South-Eastern Asia
Togo,Western Africa
Tonga,Polynesia
Trinidad and Tobago,Caribbean
Tunisia,Northern Africa
Turkey,Western Asia
Turkmenistan,Central Asia
Uganda,Eastern Africa
Ukraine,Eastern Europe
United Arab Emirates,Western Asia
United Kingdom,Northern Europe
United States,Northern America
Uruguay,South America
Uzbekistan,Central Asia
Vanuatu,Melanesia
"Venezuela, RB",South America
Vietnam,South-Eastern Asia
Virgin Islands (U.S.),Caribbean
West Bank and Gaza,Northern Africa
"Yemen, Rep.",Western Asia
Zambia,Eastern Africa
Zimbabwe,Eastern Africa
